   vsn    | size  | free  | location |  modified  |   ship   | transit 
 BKG-0067 |  2000 |  1052 | ho       | 2020-07-22 |                   | f
 HOB+0092 |  8000 |   365 | ho       | 2020-07-23 | URV76407          | f
 NRAO-177 |  2400 |  1253 | ho       | 2020-08-07 | 6848630622        | f
 BKG-0047 |  2000 |   206 | ho       | 2020-08-10 | 2307962845        | f
 BKG-0026 |  1480 |       | ho       | 2020-08-12 | 7908817965        | f
 MAT+0003 |  8000 |  7772 | ho       | 2020-08-13 | 4050281410        | t
(115 rows)

   vsn    | size  | free  | location |  modified  |   ship   | transit 
----------+-------+-------+----------+------------+----------+---------
 HOB+0098 | 16000 | 16000 | yg       | 2020-08-11 | URV76443 | t
 HOB+0095 | 16000 | 16001 | yg       | 2020-08-11 | URV76443 | t
 HOB+0029 |  6000 |  6000 | yg       | 2019-12-13 | URV76399 | f
 MPI-0419 |  3200 |  3200 | yg       | 2020-07-13 | URV76437 | f
 NRAO-180 |  2400 |  2400 | yg       | 2020-07-02 | URV76432 | f
 CURT+101 |  6000 |  6000 | yg       | 2020-05-26 | URV76418 | f
 HART+104 |  8000 |   623 | yg       | 2020-08-11 | URV76443 | t
 HOB+0016 |  8000 |  8000 | yg       | 2020-07-13 | URV76437 | f
 USN-0095 |  4000 |  4000 | yg       | 2020-03-16 |          | f
 TR-00026 |  2000 |  2000 | yg       | 2020-06-12 |          | f
 USN-0098 |  2000 |  2000 | yg       |            |          | f
 bkg-0069 |  2000 |  2000 | yg       |            |          | f
 USN-0177 |  2000 |  2000 | yg       | 2020-08-07 |          | f
 BKG-0041 |  2000 |  2000 | yg       | 2020-08-07 |          | f
 USN-0069 |  2000 |  2000 | yg       |            |          | f
 hob+0047 |  6000 |  6000 | yg       |            |          | f
 OAN+0006 |  4000 |  4000 | yg       | 2020-07-22 | URV76438 | f
(17 rows)

 vsn | size | free | location | modified | ship | transit 
-----+------+------+----------+----------+------+---------
(0 rows)

   vsn    | size  | free | location |  modified  |     ship     | transit 
----------+-------+------+----------+------------+--------------+---------
 GSFC+015 |  8000 | 3962 | wn       | 2020-02-28 | 6421351362   | f
 NRAO-199 |  2400 | 1916 | wn       | 2019-06-03 | 5523632623   | f
 USN-0070 |  4000 | 4000 | wn       | 2020-02-12 | 9785092984   | f
 IPA-0028 |  2000 | 1600 | wn       | 2020-06-04 | 6389381390   | f
 NRCAN-01 |  2000 | 2000 | wn       | 2020-04-21 | 6775489243   | f
 NTO-0023 |  3200 | 3200 | wn       | 2019-08-11 | 2917247491   | f
 JOD-0034 |  3200 | 2776 | wn       | 2019-05-10 | 5236861276   | f
 USN-0137 |  4000 | 4000 | wn       | 2019-11-05 | 3504032571   | f
 MPI-0405 |  3200 | 3200 | wn       | 2019-05-10 | 1529879433   | f
 OSOD-005 |  2000 | 1571 | wn       | 2019-10-30 | 6674530870   | f
 USN-0042 |  2000 | 1663 | wn       | 2020-01-13 | 7379713014   | f
 SHAO-023 |  2000 | 1372 | wn       | 2019-10-30 | not recorded | f
 USN-0150 |  4000 | 4000 | wn       | 2020-01-03 | 9623365161   | f
 MPI-0153 |  2000 | 1826 | wn       | 2020-04-16 | 5537746885   | f
 UAO-0018 |  2000 | 2000 | wn       | 2019-05-10 |              | f
 USN-0020 |  2000 | 1578 | wn       | 2019-05-10 | 5236618402   | f
 JIVE-020 |  2000 | 1682 | wn       | 2019-05-10 | 6562749174   | f
 USN-0173 |  2000 | 2000 | wn       | 2019-03-29 | 1155707604   | f
 BKG-0039 |  2000 | 2000 | wn       | 2019-03-29 | 6989432085   | f
 BKG-0037 |  2000 | 2000 | wn       | 2019-03-29 | 9248922421   | f
 NRAO+144 |  2000 | 2000 | wn       | 2019-03-29 |              | f
 OSOD-114 |  2000 | 2000 | wn       | 2019-03-29 | 2773046522   | f
 USN-0049 |  4000 | 4000 | wn       | 2019-03-29 | 7188294190   | f
 JIVE-064 |  2000 | 2000 | wn       | 2020-07-09 | 9300238555   | f
 OSOD-117 |  2000 | 1773 | wn       | 2019-06-03 | 4649863352   | f
 UVLBI-30 |  2000 | 2000 | wn       | 2019-03-29 | 1262585693   | f
 BKG+0142 |  4000 | 4000 | wn       | 2019-03-29 | 4511259701   | f
 IAA-0028 |  2000 | 2000 | wn       | 2019-03-29 | 5904322454   | f
 SHAO-017 |  2000 | 1999 | wn       | 2019-08-11 | 3146487945   | f
 MED-0027 |  3200 | 3019 | wn       | 2020-03-17 | 8235468603   | f
 MED-0026 |  2000 | 1505 | wn       | 2019-12-12 | 9350820404   | f
 WSRT-041 |  2000 | 1451 | wn       | 2020-08-06 | 1847303662   | f
 NRAO-144 |  2000 | 2000 | wn       | 2019-07-22 | 4595362892   | f
 USN-0094 |  4000 | 4000 | wn       | 2020-03-17 | 7500351552   | f
 HAY-0010 |  2000 | 2000 | wn       | 2019-10-30 | 1237244352   | f
 IPA-0018 |  2000 | 1171 | wn       | 2019-07-04 | 7419308816   | f
 NRAO-145 |  2000 | 2000 | wn       | 2020-06-04 | 9946740646   | f
 NRAO-108 |  2000 | 2000 | wn       | 2019-06-17 | 4887395450   | f
